article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Choque en la México-Puebla; 6 muertos y 20 heridos,2010-07-07,0.6808,Jornada,-0.7845
La Jornada: Se duermen el ex dictador Videla y el general Menéndez durante juicio,2010-07-07,0.8074,Jornada,0.0
La Jornada: Sarkozy recibió donaciones ilegales de la heredera de L’Oreál: ex contadora,2010-07-07,-0.4588,Jornada,-0.5574
La Jornada: Miles asisten al funeral del ayatola Fadlallah en Líbano,2010-07-07,-0.5719,Jornada,-0.3612
"La Jornada: El canciller español, optimista de que su viaje a Cuba mejore los vínculos con la Unión Europea",2010-07-07,0.8402,Jornada,0.6369
La Jornada: Prepara David Cameron un plan para salvar de la quiebra a British Petroleum,2010-07-07,0.2732,Jornada,0.4939
"La Jornada: Netanyahu, por reanudar pláticas con los palestinos",2010-07-07,0.0,Jornada,0.0
La Jornada: Santos podría ser arrestado si visita Quito: Rafael Correa,2010-07-07,0.0258,Jornada,-0.4767
"La Jornada: Honduras restablece relaciones con países que importan como EU, celebra Porfirio Lobo",2010-07-07,-0.7003,Jornada,0.5719
La Jornada: Prepara Fiat liquidación masiva de obreros,2010-07-07,0.8402,Jornada,0.0
La Jornada: Caracas entregará a La Habana al cómplice de Luis Posada Carriles,2010-07-07,-0.9432,Jornada,0.0
