article,pub_date,nltk_score,source
SECUREAMERICANOW.ORG

$671K



FUND FOR FREEDOM INC

$670K



FREEDOM PATH

$661K



OHIO FAMILIES UNITED

$648K



PROSPERITY FOR MICHIGAN

$645K



HISPANIC LEADERSHIP FUND ACTION

$640K



AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE

$637K



AMERICAN SOCIETY OF ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE

$627K



FREEDOM AND LIBERTY PAC

$600K



CAMPAIGN FOR AMERICAN VALUES PAC

$582K



UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT

$552K



MICHIGAN REPUBLICAN PARTY

$543K



AMERICAN FOUNDATIONS COMMITTEE INC; THE

$535K



FAITH FAMILY FREEDOM FUND

$533K



THE CONSERVATIVE STRIKEFORCE

$520K



FIGHT FOR THE DREAM

$519K



POLITICAL ACTION COMMITTEE OF THE AMERICAN ASSOCIATION OF ORTHOPAEDIC SURGEONS

$514K



FILANGIERI SOCIETY FOR JUSTICE AND GOOD GOVERNMENT

$510K



THE AMERICAN CONGRESS OF OB-GYNS PAC (OB-GYN PAC)

$507K



CALIFORNIANS FOR INTERGITY IN GOVERNMENT

$503K



CROSSROADS GENERATION

$500K



REINVENTING A NEW DIRECTION

$500K



MICHIGAN LEAGUE OF CONSERVATION VOTERS

$500K



CAMPAIGN FOR WORKING FAMILIES

$494K



NATIONAL ORGANIZATION FOR MARRIAGE

$490K



CLUB FOR GROWTH

$488K



NATIONAL REPUBLICAN VICTORY FUND PAC

$477K



INDIANA VALUES SUPERPAC INC

$460K



SAFARI CLUB INTERNATIONAL PAC (SCI-PAC)

$455K



MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY

$452K



1199SEIU UNITED HEALTHCARE WORKERS EAST

$451K



REPUBLICAN SUPER PAC INC

$438K



SANTA RITA SUPER PAC

(supports Ron Paul) $427K



9-9-9 FUND

(supports Herman Cain) $411K



CONCERNED WOMEN FOR AMERICAN LEGISLATIVE ACTION COMMITTEE

$405K



PATRIOT MAJORITY PAC

$405K



SIERRA CLUB POLITICAL COMMITTEE

$402K



AMERICAN PRINCIPLES SUPERPAC

$393K



FREEDOM'S DEFENSE FUND

$386K



VOICES OF THE AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES

$383K



NATIONAL EMERGENCY MEDICINE POLITICAL ACTION COMMITTEE

$377K



NATIONAL COMMITTEE TO PRESERVE SOCIAL SECURITY & MEDICARE PAC

$375K



PROTECT OUR SCHOOLS FUND

$368K



MAINE FREEDOM

$359K



LEAGUE OF CONSERVATION VOTERS ACTION FUND

$356K



CONNECTICUT'S FUTURE PAC INC

$344K



AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (OPHTHPAC)

$344K



DEFENDERS OF WILDLIFE ACTION COMMITTEE

$343K



PROGRESS FOR WASHINGTON

$341K



AMERICAN BRIDGE 21ST CENTURY

$335K



THE CATHOLIC ASSOCIATION

$332K



UNITE HERE TIP STATE & LOCAL FUND

$327K



AMERICAN DENTAL ASSOCIATION INDEPENDENT EXPENDITURES COMMITTEE

$323K



JAN PAC

$312K



THE NATIONAL REPUBLICAN TRUST PAC

$307K



CATHOLICVOTE.ORG CANDIDATE FUND

$293K



UNIVERSITY OF HAWAII PROFESSIONAL ASSEMBLY

$289K



CITIZENS UNITED POLITICAL VICTORY FUND

$285K



JOBS OPPORTUNITY AND FREEDOM POLITICAL ACTION COMMITTEE

$285K



NEW DIRECTIONS FOR AMERICA

$282K



ASSOCIATED BUILDERS AND CONTRACTORS INC.

$280K



CATHOLICVOTE.ORG, OR FIDELIS

$266K



AMERICAN JOBS PAC

$260K



STRONG ECONOMY FOR MASSACHUSETTS INC

$255K



RESTORING OUR COMMUNITY

$253K



SAVING FLORIDA'S FUTURE

$245K



NATIONAL NURSES UNITED FOR PATIENT PROTECTION

$242K



HOOSIERS FOR JOBS

$239K



AMERICAN SUNRISE

$237K



DEFEND OUR HOMES

$237K



FREEDOM BORN FUND

$236K



AMERICAN MAJORITY ACTION INC.

$234K



RIGHT TO LIFE OF MICHIGAN POLITICAL ACTION COMMITTEE

$231K



PROGRESSIVE KICK INDEPENDENT EXPENDITURES

$228K



HERITAGE ACTION FOR AMERICA

$227K



CITIZENS 4 ETHICS IN GOVERNMENT

$227K



STRONG AMERICA NOW

(supports Newt Gingrich) $225K



LET FREEDOM RING INC

$224K



BELIEVE IN INDIANA

$217K



AMERICANS FOR ACCOUNTABILITY IN LEADERSHIP

$213K



CENTRAL VALLEY INDEPENDENT PAC

$211K



WORKING FAMILIES FOR HAWAII

$207K



LOUISIANA PROSPERITY FUND

$204K



STRONGER TOGETHER

$199K



FAIR WISCONSIN INC.

$191K



USA SUPER PAC

$190K



COALITION OF AMERICANS FOR POLITICAL EQUALITY

$188K



PEOPLE'S MAJORITY

$183K



CALIFORNIA LEAGUE OF CONSERVATION VOTERS

$178K



FREEDOM FUND FOR AMERICA'S FUTURE INC

$175K



CONSERVATIVES ACTING TOGETHER POLITICAL ACTION COMMITTEE (CATPAC)

$173K



REVOLUTION PAC

(supports Ron Paul) $172K



AMERICAN POSTAL WORKERS UNION COMMITTEE ON POLITICAL ACTION

$169K



UNITED ASSOCIATION POLITICAL EDUCATION COMMITTEE (UNITED ASSOCIATION OF JOURNEYMEN AND APP

$168K



PATRIOT SUPER PAC

$166K



